job_name,org_name,deadline,loc_name
"Civil Society, Environment and Gender Specialists (03 positions) ",VIETNAM-CANADA PROGRAM SUPPORT UNIT (PSU),"Fri, 2013-04-19",CAMBODIA
SRI Technical Protocol Development Expert,SNV,"Mon, 2013-04-15",NA
Applicants for the Disability and Inclusive Development Training of Trainer Programme,CBM,"Mon, 2013-04-22",NA
Capacity Development and Grants Monitoring Specialist,JUSTICE INITIATIVES FACILITATION FUND (JIFF),"Mon, 2013-04-15",NA
Deputy Executive Director,TOWARDS TRANSPARENCY (TT),"Fri, 2013-04-26",NA
Monitoring & Evaluation Officer,EAST MEETS WEST (EMW),"Mon, 2013-04-29",NA
Internship based in Da Nang,PASSERELLES NUMÃƒÂ©RIQUES.,"Mon, 2013-04-29",DA NANG
Deputy Regional Director,OXFAM,"Fri, 2013-04-12","THAILAND, VIETNAM, MYANMAR"
"Senior Program Manager for Monitoring, Evaluation and Research",PLAN INTERNATIONAL,"Wed, 2013-04-24",HA NOI
Literacy Program Associate,ROOM TO READ,"Mon, 2013-06-10",HO CHI MINH
Wildlife Crimes Unit Team Leader,ENV,"Thu, 2013-04-18",HA NOI
Operations Manager,ORBIS INTERNATIONAL,"Mon, 2013-04-15",HA NOI
Senior Program  Manager,ORBIS INTERNATIONAL,"Sat, 2013-04-20",HA NOI
Independent Consultant for Implementing Communication Strategy,PORIS PROJECT,"Wed, 2013-04-10",NGHE AN
Vacancies with CIDEAL Foundation,CIDEAL FOUNDATION,"Sun, 2013-05-05",THANH HOA
Consulting Service for Market Research,CIDEAL FOUNDATION,"Sun, 2013-05-05",THANH HOA
Consultants for Baseline Study of E-Bike Project from Caritas Switzerland in Vietnam,CARITAS SWITZERLAND IN VIETNAM (CARITAS),"Sun, 2013-04-07",HA NOI
Administrative Officer and Interpreter/Translator; Finance Assistant,CHILDFUND VIETNAM,"Sun, 2013-04-14","HA NOI, BAC KAN"
Admin Officer,CARE,"Tue, 2013-04-16",HA NOI
03 Trainers or Trainer Teams to Conduct 03 Training Courses,ROSA LUXEMBURG STIFTUNG (RLS),"Thu, 2013-04-18",NHA TRANG
Provincial Coordinators,AMERICAN RED CROSS (ARC),"Thu, 2013-04-18","LONG AN, NAM DINH"
Consultants for Baseline Study of E-Bike Project,CARITAS SWITZERLAND IN VIETNAM (CARITAS),"Sun, 2013-04-07",HA NOI
Consulting Service for Environmental Impact Audit,MEET-BIS VIETNAM,"Sun, 2013-04-14",DA NANG
Project Officer,DIOXIN PROJECT MANAGEMENT UNIT,"Mon, 2013-04-08",HA NOI
Administrative Support,PYD VIETNAM,"Fri, 2013-04-12",NA
Communication and Public Awareness (CPA) Supervisor,ENV,"Fri, 2013-04-12",NA
External Consultant for a Training Course on Coaching and Facilitation Skills for Local Core Trainers in Quang Nam,PAZ Y DESARROLLO (PYD),"Fri, 2013-04-12",HA NOI
Administrative Secretary,AGENCE DE MÃƒÂ©DECINE PRÃƒÂ©VENTIVE (AMP),"Fri, 2013-04-05",HA NOI
Vacancies with the CFBA Project,PROJECT OF THE COMMITTEE FOR FINANCE AND BUDGET AFFAIRS (CFBA),"Wed, 2013-04-10",AN GIANG
Field Project Officer,GERMAN RED CROSS (GRC),"Mon, 2013-04-15",HA NOI
Senior Program Officer,PACT VIETNAM,"Sun, 2013-04-07",HA NOI
Experts needed for AMP,AMP,"Fri, 2013-04-05",HA NOI
01 Intern for Office,PROJECTS ABROAD VIETNAM,"Wed, 2013-04-10",HA NOI
Paid Full-time Program Internship,EAST MEETS WEST (EMW),"Wed, 2013-04-17",HA NOI
Northern Region Coordinator,ROOM TO READ,"Thu, 2013-05-30",HOA BINH
Area Development Program Manager; Development Facilitator,WORLD VISION,"Fri, 2013-04-12",NA
Project Accountant,ACDI/VOCA VIETNAM,"Fri, 2013-04-05",HO CHI MINH
Training & Extension Director ,ACDI/VOCA VIETNAM,"Mon, 2013-04-15",HO CHI MINH
Dioxin Emission Survey Expert,DIOXIN PROJECT MANAGEMENT UNIT,"Sun, 2013-03-31",DA NANG
Vacancies with FHF,THE FRED HOLLOWS FOUNDATION (FHF),"Tue, 2013-04-30",HO CHI MINH
Communications Assistant,FSSP COORDINATION OFFICE,"Wed, 2013-04-10",DIEN BIEN
Technical Assistance for Gender Integration in the Training Programs and Extra-curriculum,PAZ Y DESARROLLO (PYD),"Wed, 2013-04-10",HA NOI
Regional Monitoring and Evaluation (M&E) Manager,THE ASIA INJURY PREVENTION FOUNDATION (AIP),"Mon, 2013-04-15","BINH DUONG, DONG NAI"
Specialists for SUSFORM-NOW,SUSFORM-NOW,"Tue, 2013-04-30",NA
Accountant,HAARP VIETNAM,"Wed, 2013-04-10",NA
Consulting Services in Support of Project Implementation,MARIE STOPES INTERNATIONAL IN VIETNAM (MSIVN),"Tue, 2013-04-30",NA
VWID Call for Proposals 2013,VWID,"Sun, 2013-06-30",NGHE AN
Consulting Services to Conduct a Feasibility Study on Future Implementation of a Pilot Model of Community Based Forest Management,SNV,"Fri, 2013-04-05",CAN THO
Request for Proposal for Service,UNICEF,"Mon, 2013-04-15",HA NOI
National Project Manager,UNDP,"Thu, 2013-03-28",HA NOI
Short Term Project Consultant,THE ROSA-LUXEMBURG-STIFTUNG (RLS),"Thu, 2013-04-11","QUANG BINH, BINH DINH"
Community Development Staff,AGRONOMES ET VETERINAIRES SANS FRONTIERES (AVSF),"Fri, 2013-04-12","LANG SON, HA NOI"
Vacancies with CARE,CARE,"Wed, 2013-04-10",NA
Technical Specialist for Technology Assessment For Rice Residue Utilization,SNV,"Fri, 2013-04-05",NA
Specialist Market Assessment For Rice Husk Utilization,SNV,"Fri, 2013-04-05",NA
Program Officer; Project Officer; Field-based Officer,CSEED,"Tue, 2013-04-09",NA
Senior Aquaculture Officer and Project Officer for SWITCH ASIA Project,WWF,"Fri, 2013-04-05",CAN THO
Consultancy Service for Development and Production of WASH IEC Materials,SNV,"Fri, 2013-04-05",CAO BANG
02 Consultants for Evaluation of Two Projects in Cao Bang,ADRA,"Mon, 2013-04-08","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
03 National Consultants for the Ã¢â‚¬Å“Vietnam HIV/AIDS Prevention ProjectÃ¢â‚¬ï¿½,VIETNAM HIV/AIDS PREVENTION PROJECT (VNHPP),"Mon, 2013-04-01","HA NOI, HO CHI MINH, THAI NGUYEN"
Procurement Specialist; Businessment Development Specialist,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM,"Mon, 2013-04-08","AN GIANG, HA GIANG"
Consultancy Service to Finalize Bos Gaurus Project Document,THE TRUST FUND FOR FORESTS (TFF),"Sun, 2013-03-31","BINH THUAN, NINH THUAN"
Consultants to Conduct HepC Research,PSI VIETNAM,"Mon, 2013-04-01",NA
Local Consultant to Carry out Base-line Survey,JICA ANTI-TIP HOTLINE PROJECT,"Mon, 2013-04-01",NA
Project Coordinator,HANDICAP INTERNATIONAL (HI),"Mon, 2013-04-08",NA
01 International Consultant and 04 National Consultants for the World Bank ,THE WORLD BANK VIETNAM,"Fri, 2013-03-29",NA
International Expert on Labor Migration,THE ROSA-LUXEMBURG-STIFTUNG (RLS),"Mon, 2013-04-08",HA NOI
Health Financing Advisor; Human Resources for Health Advisor,PARNERSHIP FOR SUPPLY CHAIN MANAGEMENT (PFSCM),"Fri, 2013-04-26",HA NOI
Monitoring and Evaluation Analyst,UNAIDS VIETNAM,"Mon, 2013-04-08",HA NOI
Finance Manager,NORWEGIAN PEOPLE'S AID (NPA),"Wed, 2013-04-03",HA NOI
National Consultants to Develop Manuals,CATHOLIC RELIEF SERVICES (CRS),"Mon, 2013-04-15",HA NOI
Alumni Assistant,AUSTRALIA AWARDS IN VIETNAM,"Mon, 2013-04-01",HA NOI
Executive Assistant to the Country Director (EACD),VIETNAM EDUCATION FOUNDATION (VEF),"Fri, 2013-04-05",HA NOI
Project Assistant,ILSI JAPAN CHP IN HANOI,"Mon, 2013-04-01",NA
Education and Training Assistant,LIVE&LEARN,"Sun, 2013-03-31",NA
Finance Manager; Project Accountant,HELVETAS,"Wed, 2013-04-10",NA
Consultants to Carry out Mid-term Project Review of PPDP-II,PLAN INTERNATIONAL,"Fri, 2013-04-12","HO CHI MINH , LAM DONG , HA NOI"
Community Development Expert,AGRONOMES ET VETERINAIRES SANS FRONTIERES (AVSF),"Fri, 2013-04-05",HA NOI
IT Consultant,ACTIONAID,"Mon, 2013-04-15",HA NOI
Senior Planning Officer,SNV,"Thu, 2013-04-04",QUANG NAM
Reading Room Program Officer,ROOM TO READ,"Wed, 2013-05-15",HA NOI
Junior Research Officer,ENV,"Wed, 2013-04-10",NA
Proposal for WWF Brand survey,WWF,"Wed, 2013-04-10",NA
Request for Expressions of Interest,MANAGEMENT SCIENCES FOR HEALTH,"Mon, 2013-04-01",NA
Information Management Assistant (IMA),MAG,"Thu, 2013-03-28",NA
Program Officer,THE CLINTON HEALTH ACCESS INITIATIVE (CHAI),"Thu, 2013-04-18",NA
Project Assistant ,CARE,"Sun, 2013-03-31",HA NOI
Migration Health Physician,IOM,"Wed, 2013-04-03",HO CHI MINH
Communication Offcier,WORLD VISION,"Mon, 2013-04-15",HA NOI
Communication and Public Awareness Team Leader; Policy and Legislative Program Assistant,ENV,"Fri, 2013-03-29",ENV
Human Resource Manager,CARE,"Tue, 2013-04-02",HA NOI
Project Component Officer,PROJECT Ã‚â‚¬Å’STRENGTHENING THE IMPACT OF PUBLIC ADMINISTRATION REFORM IN BAC GIANG PROVINCEÃ‚â‚¬ï¿½,"Fri, 2013-03-29",BAC GIANG
Administration Intern,TOWARDS TRANSPARENCY (TT),"Wed, 2013-04-03",HA NOI
Programme Officer,PYD,"Tue, 2013-04-02",DA NANG
Consultancy Service to Conduct Training on Facilitation of Participatory Group Activities for Leaders and Activists of Women Unions,PYD,"Wed, 2013-03-27",HA NOI
Clinical Research Laboratory Technician,OUCRU-VN,"Fri, 2013-04-05",NA
Call for Proposal from MFF,THE MANGROVES FOR THE FUTURE (MFF),"Fri, 2013-04-12",DIEN BIEN
Cluster Officers; Development Facilitator,WORLD VISION,"Sat, 2013-03-30",HA NOI
National Climate Financing Specialist,UNDP,"Thu, 2013-03-28",BAC GIANG
"Consultant for the Project ""Sponsorship and Nutrition Supporting in Son Dong, Bac Giang""",CIAI VIETNAM,"Tue, 2013-03-26",CAO BANG
Project Officer,HELVETAS SWISS INTERCOOPERATION VIETNAM,"Sun, 2013-03-31","HOA BINH , CAO BANG"
Office Manager / Assistant to the Director,THE ROSA-LUXEMBURG-STIFTUNG (RLS),"Sun, 2013-03-31",HO CHI MINH
Project Officers,HELVETAS SWISS INTERCOOPERATION VIETNAM,"Sun, 2013-03-31",HO CHI MINH
Film Maker to Develop Documentary Reportage on Daily Life of Adolescent Girls in Hanoi,PLAN INTERNATIONAL,"Sat, 2013-03-23",NA
Migrant Services Clerk Assistant ,IOM,"Sun, 2013-03-24",NA
Southern Wildlife Protection Program Officer,ENV,"Fri, 2013-03-29",NA
Office Accountant; Project Assistant,ADDA,"Tue, 2013-04-02","HA NOI, DIEN BIEN, SON LA , HOA BINH"
Social Safeguard Specialist,THE MANAGEMENT OF URBAN DEVELOPMENT PROJECT,"Fri, 2013-03-29",HA NOI
Development Effectiveness and Learning Manager,CHILDFUND VIETNAM,"Mon, 2013-03-25",HA NOI
Paid Full-time Finance Internship,GERMAN RED CROSS (GRC),"Fri, 2013-03-29",HA NOI
Administrative/ Finance Intern,HELEN KELLER INTERNATIONAL,"Thu, 2013-03-21",HA NOI
Cluster Officers; Development Facilitator,WORLD VISION,"Thu, 2013-04-04",DIEN BIEN
Consultants for Technical Assistance ,SECOND NORTHERN MOUNTAINS POVERTY REDUCTION PROJECT,"Sat, 2013-03-30",HA NOI
Development Advisor,CLIMATE CHANGE WORKING GROUP (CCWG),"Wed, 2013-03-20",HA NOI
Deputy Executive Director; Communications Officer,TOWARDS TRANSPARENCY (TT),"Sun, 2013-03-24",HO CHI MINH
Development Facilitator ,WORLD VISION,"Sun, 2013-03-31",NA
Clean Water Project Officer,EAST MEETS WEST,"Fri, 2013-04-12",CAMBODIA
Communication Officer ,OXFAM,"Thu, 2013-03-28",HA NOI
Project Manager; Senior Program Officers,PACT,"Mon, 2013-03-25",HA NOI
Technical Officer,FHI 360,"Thu, 2013-03-28",HO CHI MINH
Coffee Field Coordinator,SNV,"Tue, 2013-03-26",DAK LAK
Coordinator for the Education Programme,VVOB,"Thu, 2013-03-28",HA NOI
Project Manager,GNI,"Fri, 2013-03-22",THANH HOA
Research Coordinator (RC),HEALTHBRIDGE CANADA,"Sat, 2013-03-23",HA NOI
Consultant Team to Develop the Parenting Education Curriculum,PLAN VIETNAM,"Fri, 2013-03-22",NGHE AN
Consultancy Service to Deliver 3 Training Courses on Capacity Development,PORIS PROJECT,"Mon, 2013-03-25",NA
Gender Capacity Building Consultant,CATHOLIC RELIEF SERVICES (CRS),"Sun, 2013-03-31","AN GIANG, DONG THAP"
Service Provider - Knowledge Materials,SNV,"Fri, 2013-03-22",TAY NINH
Field Construction Engineer,GERMAN RED CROSS (GRC),"Mon, 2013-03-18",TAY NINH
Project Officer,WORLD AGROFORESTRY CENTRE (ICRAF),"Sun, 2013-03-31",HA NOI
Field Coordinator,UNICEF,"Sun, 2013-03-31","HA NOI , ONE"
Field Technician,OXFAM,"Sun, 2013-03-24",NA
Individual International Consultant,SNV,"Mon, 2013-03-25",NA
Consultants to Conduct 03 Training Workshop in Ninh Thuan,BELGIAN DEVELOPMENT AGENCY (BTC),"Mon, 2013-03-25",NA
Training Service Providers for the Delivering Home-stay Training Courses,NA,"Sun, 2013-03-24",NA
National Consultant for Belgian Development Agency,NA,"Mon, 2013-03-25",NA
Consultants ( 01 International and 01 National) for End-of-Programme Evaluation,TOWARDS TRANSPARENCY (TT),"Fri, 2013-03-22",KON TUM
Project Coordinator (PC); Project Facilitator (PF),FOUNDATION FOR INTERNATIONAL DEVELOPMENT / RELIEF (FIDR),"Sun, 2013-03-24",HA NOI
Adaptation Coordinator,AMERICAN RED CROSS (ARC),"Fri, 2013-03-29",THANH HOA
Area Development Programme Manager,WORLD VISION,"Fri, 2013-04-05",HO CHI MINH
Training Service Providers for the Delivering Local Guide Training Courses,SNV,"Sun, 2013-03-24",HA NOI
Request for Proposal for Service Office Fit-out,UNICEF,"Mon, 2013-03-18",HA NOI
Programme Officer Private Sector; Governance Programme Officer/Funding Officer,OXFAM,"Mon, 2013-03-25",HA NOI
Consultant(s) for Constitution Analysis,USAID/HPI,"Wed, 2013-03-13",NA
Wildlife Crimes Unit Team Leader,ENV,"Sat, 2013-03-30",NA
Communication Intern,USAID/HPI,"Thu, 2013-03-14",NA
Project Officer,HELVETAS SWISS INTERCOOPERATION VIETNAM,"Mon, 2013-03-25",HA NOI
Project Officer; Project Manager,ADVENTIST DEVELOPMENT AND RELIEF AGENCY (ADRA),"Wed, 2013-03-20",CAO BANG
Administrative Officer,WHO,"Tue, 2013-03-19",HA NOI
02 National Experts,UNDP,"Thu, 2013-03-14",HA NOI
Promotion and Screening Manager,ASDIV,"Wed, 2013-03-20",HA NOI
Call for Expression of Interest on National Situation Analysis of Outreach Delivery Systems,FHI 360,"Thu, 2013-03-21",QUANG NAM
Programme Assistant,GIZ,"Sat, 2013-03-30",HA NOI
National Micro-Finance Consultancy,PAZ Y DESARROLLO (PYD),"Sun, 2013-03-17",HA NOI
Health Services Manager,PSI VIETNAM,"Wed, 2013-03-13",NA
Research Coordinator,PSI VIETNAM,"Fri, 2013-03-15",NA
Consultants for Exclusion Study ,CHILDFUND VIETNAM,"Sun, 2013-03-17","HA NOI, HOA BINH, BAC KAN, CAO BANG"
02 Consultants to Conduct HRM and Change Management Training Courses,REACH,"Mon, 2013-03-25",HA NOI
Project Intern,SAVE THE CHILDREN,"Sun, 2013-03-10",HA NOI
CBA Volunteer,SAVE THE CHILDREN,"Sun, 2013-03-10",HA NOI
Climate Change Project Manager,SAVE THE CHILDREN,"Sun, 2013-03-17",DA NANG
Market Survey Consultant,SAVE THE CHILDREN,"Sun, 2013-03-10",HA NOI
02 Consultants for Evaluation of Two Projects in Cao Bang,ADRA,"Mon, 2013-04-08","THAILAND, VIETNAM, MYANMAR"
National Consultants for PAR Project in Da Nang City,PAR PROJECT,"Fri, 2013-03-15",NA
Interpreter/Translator,HUMANITARIAN RIGHTS AND DEVELOPMENT AID INTERNATIONAL,"Thu, 2013-03-28",NA
IT Specialist,RECOFTC,"Sun, 2013-03-24",NA
Administration & Communications Manager,THE VIETNAM GREEN BUILDING COUNCIL (VGBC),"Sun, 2013-03-31",HA NOI
Consultants for KMP-API Project,KMP-API PROJECT,"Mon, 2013-03-18",HA NOI
Capacity Building and Organisational Development Manager,CARE,"Wed, 2013-03-20",HA NOI
Consultant for the Teacher Training on Organisation Skills for Child Rights Related Activities,OXFAM,"Thu, 2013-03-14",HA NOI
Project Officer,MPKEN,"Sun, 2013-03-31",HA NOI
Programme Officer,OXFAM,"Mon, 2013-03-11",HA NOI
Project Manager; Project Accountant,MOLISA,"Fri, 2013-03-15",THANH HOA
Filed Project Assistant,CARE,"Mon, 2013-03-18",LONG AN
Consultant for Project Lesson Learn Documentation,CARE,"Fri, 2013-03-08","THAILAND, VIETNAM, MYANMAR"
Project Officer,RECOFTC,"Mon, 2013-03-18",NA
Assistant Program Officer (APO) - Communication,RECOFTC,"Mon, 2013-03-18",HA NOI
Programme Officer,ACTIONAID,"Sun, 2013-03-17",HA NOI
National Project Officer (NPO); Project Officer (PO); Project Assistant (PA); Administrative and Financial Assistant (AFA),ILO,"Fri, 2013-03-08",HA NOI
Finance Officer,ANIMALS ASIA,"Fri, 2013-03-15",HA NOI
Education Officer,ANIMALS ASIA,"Fri, 2013-03-15",VINH PHUC
Project Officer,ENDA VIETNAM,"Tue, 2013-03-12",HO CHI MINH
Training Specialist,AGENCE DE MÃƒÂ©DECINE PRÃƒÂ©VENTIVE (AMP),"Fri, 2013-03-15",HA NOI
Project Officer; Research Officer,ASIAN MANAGEMENT AND DEVELOPMENT INSTITUTE (AMDI),"Sun, 2013-03-10",HOI AN
Executive Assistant,STREETS INTERNATIONAL,"Mon, 2013-04-01",NA
Project Coordinator,PROJECTS ABROAD,"Wed, 2013-03-13",NA
Logistic Officer,SNV,"Wed, 2013-03-13",HA NOI
Trainer on Positive Deviance for Parenting Education Program,PLAN VIETNAM AND VWU,"Wed, 2013-03-20",HA NOI
Suppliers to Provide Server-Application Software to Run Public Administration Reform Database System,UNDP,"Thu, 2013-03-07",HA NOI
Vietnam Conservation Programme Manager ,WWF,"Fri, 2013-03-15",CAO BANG
Consultancy on M&E Refresher Training,PROJECT VIE029,"Fri, 2013-03-15",HO CHI MINH
Southern Programme Coordinator,ACTIONAID,"Wed, 2013-03-13",NHA TRANG
Project Officer,FHI 360,"Sun, 2013-03-03","AN GIANG, SOC TRANG"
CBA Consultant,CARE,"Sat, 2013-03-16",HA NOI
Project Administrator (two positions),SNV,"Fri, 2013-03-08",HA GIANG
Consultant to Conduct a Survey on Ã¢â‚¬Å“Intestinal Worms Infection Among ChildrenÃ¢â‚¬ï¿½ under the Project Ã¢â‚¬Å“Because IÃ¢â‚¬â„¢m a Girl Ã¢â‚¬â€œ BIAAGÃ¢â‚¬ï¿½,PLAN IN VIETNAM,"Sat, 2013-03-23",NA
SRC - CBDRM Field Officer,SWISS RED CROSS (SRC),"Wed, 2013-03-06",BEN TRE
Consulting Services for Investigation of Drivers of Deforestation and Forest Degradation for ENRICH Pilot Site,SNV,"Wed, 2013-04-03",HA TINH
Call for Proposal on Anti-Corruption Research,COFFEY INTERNATIONAL DEVELOPMENT,"Sun, 2013-05-05",THUA THIEN HUE
ICT Officer,FOOTBALL FOR ALL IN VIETNAMÃ‚â‚¬ï¿½ (FFAV),"Sat, 2012-12-15",MYANMAR
Country Representative,CARITAS SWITZERLAND,"Fri, 2013-03-15",HOA BINH
01 Sponsorship Service Division Officer,GOOD NEIGHBORS,"Thu, 2013-02-28","HA NOI , HAI DUONG"
Contractor to Conduct Business and Alumni Interviews for the Wed and Graphic Design Curriculum Review,REACH,"Sat, 2013-03-02",SOC TRANG
Gender Analysis Specialist,SOCTRANG SME PROJECT MANAGEMENT UNIT,"Mon, 2013-03-11",HA NOI
" National Migration Health Physician, Nurse and Clerk for IOM office in Hanoi",IOM,"Fri, 2013-03-15",HA NOI
Program Intern,AFAP,"Sun, 2013-03-03",NA
Regional Program Coordinator Ã¢â‚¬â€œ Farmer Led Agricultural Innovation for Resilience (FLAIR),OXFAM,"Sun, 2013-03-10",PHNOM PENH
Vacancies with World Vision International Vietnam,WORLD VISION,"Fri, 2013-03-08",CAO BANG
LEAF Institutional Capacity Building National Consultant for Vietnam ,LEAF PROGRAMME,"Fri, 2013-03-08",HA NOI
Project Officer,HELVETAS SWISS INTERCOOPERATION VIETNAM,"Wed, 2013-03-06",KON TUM
Area Program Manager (1 person); SR Data Validation Volunteer (6 people); Education Consultant (2 people),CHILDFUND VIETNAM,"Wed, 2013-03-06",NA
 Child Rights Situation Analysis Consultant,"ADOPTIONSCENTRUM, SWEDEN (ACS)","Tue, 2013-02-26",NA
Project Coordinator,AGRONOMES AND VETERINAIRES SANS FRONTIERES (AVSF),"Tue, 2013-03-05",NA
Senior Advisor Climate Smart Agriculture,SNV,"Wed, 2013-03-06",NA
 Senior Advisor Forest and Agriculture Livelihoods ,SNV,"Wed, 2013-03-06",NA
Senior Advisor/Forest Landscape Manager,SNV,"Wed, 2013-03-06",NA
Vacancies with WENARUDEP,WENARUDEP,"Thu, 2013-03-14",DONG NAI
Project Officer,MARIE STOPES INTERNATIONAL IN VIETNAM (MSIVN),"Sun, 2013-03-10",DONG NAI
Project Officer,MARIE STOPES INTERNATIONAL IN VIETNAM (MSIVN),"Sun, 2013-03-10",DA NANG
Software Developer,SNV,"Thu, 2013-02-28",NA
Accountant,PASSERELLES NUMÃƒÂ©RIQUES.,"Fri, 2013-03-08",NA
Consultant at Plan in Vietnam,PLAN INTERNATIONAL,"Thu, 2013-02-28",NA
Consultant at Plan in Vietnam,PLAN IN VIETNAM,"Thu, 2013-02-28",NA
Consultancy,THE SPANISH ASSOCIATION FOR PEACE AND DEVELOPMENT (PYD),"Wed, 2013-02-27",NA
Health Services Coordinator,POPULATION SERVICES INTERNATIONAL (PSI),"Mon, 2013-03-04",NA
Consultant ,TRANSPARENCY INTERNATIONAL (TI),"Sun, 2013-02-24",NA
Case Worker,HOLT INTERNATIONAL CHILDREN'S SERVICES Ã‚â‚¬â€œ VIETNAM PROGRAM,"Sun, 2013-03-10",BINH DUONG
Field Program Officer,EDUCATION FOR NATURE-VIETNAM (ENV),"Fri, 2013-03-01",THUA THIEN HUE
Vacancies with SODI (Solidarity Service International),SODI (SOLIDARITY SERVICE INTERNATIONAL),"Thu, 2013-02-28",HA NOI
03 Consultants at VECO Vietnam,VECO VIETNAM,"Fri, 2013-02-22",NA
Chief of Party,VIETNAM ASSISTANCE FOR THE HANDICAPPED (VNAH),"Fri, 2013-03-15",NA
Project Officer,HELVETAS SWISS INTERCOOPERATION VIETNAM,"Mon, 2013-03-04",NA
Wildlife Crime Case Officer,EDUCATION FOR NATURE-VIETNAM (ENV),"Fri, 2013-03-08",NA
Consultant,CARE,"Sat, 2013-03-16",NA
Finance Officer,ICEM VIETNAM,"Thu, 2013-02-28",NA
Field Project Officer,GERMAN RED CROSS,"Thu, 2013-02-28",NA
Technical Advisor,MANAGEMENT SCIENCES FOR HEALTH,"Mon, 2013-03-18",HO CHI MINH
Readvertisement: Capacity building Ã¢â‚¬â€œ Technical Specialist,CARE,"Thu, 2013-02-28",CAN THO
Consultancy,THE ROSA-LUXEMBURG-STIFTUNG (RLS),"Fri, 2013-03-15",HA NOI
Market Access Expert,SDC,"Fri, 2013-03-08",NA
Project Officer and a Project Administrative Assistant,UNDP,"Thu, 2013-02-28",NA
Project Engineer and Administration Officer,THE VIETNAM GREEN BUILDING COUNCIL (VGBC),"Thu, 2013-02-28",NA
Finance and Administration Manager (FAM),ACE,"Fri, 2013-03-15",NA
Communication Officer,"THE HANOI SCHOOL OF PUBLIC HEALTH, MINISTRY OF HEALTH","Thu, 2013-02-28",NA
01 Intern for Outreach Ã¢â‚¬â€œ Individual Care Program,HAGAR VIETNAM,"Wed, 2013-02-27",NA
Bid Notice from the Global Competitiveness Facility (GCF),GCF,"Fri, 2013-03-08",NA
Consultant ,CHILDFUND VIETNAM,"Tue, 2013-02-19",HA NOI
Programme Support Officer,OXFAM,"Thu, 2013-02-28",NA
Consultants,"PROJECT VIE/029, DEPARTMENT OF PLANNING AND INVESTMENT OF CAO BANG PROVINCE","Thu, 2013-02-21",NA
Bid Notice  ,NORWEGIAN PEOPLES AID,"Tue, 2013-02-19",NA
Representative,HUE HELP,"Fri, 2013-02-22",NA
Project Officer,HELVETAS SWISS INTERCOOPERATION VIETNAM,"Thu, 2013-02-28",NA
International Technical Advisor,SNV,"Sun, 2013-02-24",NA
Administration Officer; Project Engineer,THE VIETNAM GREEN BUILDING COUNCIL (VGBC),"Thu, 2013-02-28",NA
Gender Analysis Ã¢â‚¬â€œ National Consultant,GIZ,"Sun, 2013-02-10",NA
Alumni Manager ,ASDIV,"Sun, 2013-02-24",NA
Tender  Annoucement ,CHILDFUND VIETNAM,"Thu, 2013-02-21",LAM DONG
Selection Assistant ,PASSERELLES NUMÃƒÂ©RIQUES.,"Thu, 2013-02-28",HA NOI
Consultant ,SNV,"Sun, 2013-02-17",HA NOI
Project Field Officer,SNV,"Mon, 2013-02-25",HA NOI
Project Officer; Technical Officer.,KNCV TUBERCULOSIS FOUNDATION,"Tue, 2013-03-05",NA
Renewable Energy Advisor,SNV,"Wed, 2013-02-20",NA
Project Manager/Agriculture Advisor,SNV,"Wed, 2013-02-20",NA
Climate Change Specialist,AUSTRALIAN EMBASSY,"Fri, 2013-03-08",NA
Disaster Risk Reduction Consultant,CRS,"Wed, 2013-02-20",NA
Climate Change Projects Consultant,CRS,"Thu, 2013-02-28",NA
Vacancies with Save the Children,SAVE THE CHILDREN,"Sun, 2013-02-24",HA NOI
Technical Sales Associate and Translator,ENVIRONMENTAL SOURCE SAMPLERS,"Sat, 2013-03-02",THANH HOA
Vacancies with Project Ã¢â‚¬Å“Strengthening the impact of Public Administration Reform in Ha Tinh provinceÃ¢â‚¬ï¿½,UNDP,"Tue, 2013-02-19",QUANG NAM
Consultants (3 positions),THE PROJECT Ã‚â‚¬Å’SUPPORT TO KNOWLEDGE MANAGEMENT AND POLICY DIALOGUE THROUGH THE PARTNERSHIP ON AVIAN AND HUMAN INFLUENZAÃ‚â‚¬ï¿½ (KMP-API),"Mon, 2013-02-25",HA NOI
"01 Finance Officer for Vinh Loc Project, Thanh Hoa province",GOOD NEIGHBORS,"Fri, 2013-02-22",HA NOI
"Senior Program Manager, Project Manager",HABITAT FOR HUMANITY VIETNAM (HFHV),"Thu, 2013-02-28",NA
"Senior Programme Officer, Integrity Solutions",TOWARDS TRANSPARENCY (TT),"Sun, 2013-02-17",NA
Junior Administrative Intern,USAID/HEALTH POLICY INITIATIVE VIETNAM (USAID/HPI),"Mon, 2013-02-18",NA
Project Management Officer (PMO),AGENCE DE MÃƒÂ©DECINE PRÃƒÂ©VENTIVE (AMP),"Fri, 2013-02-15",NA
Procurement Consultant (Procurement Coordinator),WORLD CONCERN DEVELOPMENT ORGANIZATION,"Wed, 2013-02-20",NA
Vacancies with Public Administration Reform Project in Da Nang city,PUBLIC ADMINISTRATION REFORM PROJECT IN DA NANG CITY,"Fri, 2013-02-08",DA NANG
Community Support Officer ,NORWEGIAN PEOPLE'S AID (NPA),"Fri, 2013-02-08",THUA THIEN HUE
